date,Load,Performance
2015-09-13,143.34,1.583941605839416
2015-09-17,45.6,
2015-09-20,197.62,1.471830985915493
2015-09-23,94.41,
2015-09-26,150.65,1.5611510791366907
2015-10-06,40.61,
2015-10-07,73.46,1.7307692307692308
2015-10-08,88.23,1.6888888888888889
2015-10-10,132.81,1.467153284671533
2015-10-13,48.53,
2015-10-16,61.24,
2015-10-18,141.09,1.4892086330935252
2015-10-20,43.95,
2015-10-21,93.92,1.8507462686567164
2015-10-23,68.75,1.832
2015-10-25,164.35,1.5845070422535212
2015-10-27,57.56,1.7083333333333333
2015-10-28,105.63,1.8591549295774648
2015-10-29,66.96,1.7697841726618706
2015-11-07,155.2,1.6987179487179487
2015-11-08,169.63,1.5205479452054795
2015-11-10,44.14,
2015-11-11,75.73,1.5512820512820513
2015-11-12,38.55,1.4393939393939394
2015-11-14,147.11,1.619047619047619
2015-11-17,90.74,
2015-11-18,53.15,1.4657534246575343
2015-11-19,38.89,
2015-11-21,103.6,1.5555555555555556
2015-11-24,54.43,1.5144927536231885
2015-12-02,77.57,1.6776315789473684
2015-12-05,160.61,1.5033557046979866
2015-12-16,56.98,1.496969696969697
2016-01-14,51.89,1.5666666666666667
2016-01-16,153.76,1.3846153846153846
2016-01-17,197.54,1.5165562913907285
2016-01-19,77.51,1.6344827586206896
2016-01-21,34.62,
2016-01-22,80.04,1.5802469135802468
2016-01-23,344.11,1.3825503355704698
2016-01-24,159.6,1.6923076923076923
2016-01-26,129.51,
2016-01-29,118.12,
2016-01-30,272.91,1.5833333333333333
2016-02-03,47.07,1.6312056737588652
2016-02-05,62.63,
2016-02-07,245.31,1.5182481751824817
2016-02-09,78.94,
2016-02-12,118.51,1.6544117647058822
2016-02-13,264.21,1.5352112676056338
2016-02-14,206.48,1.7591240875912408
2016-02-15,97.72,1.791044776119403
2016-02-18,69.14,1.7894736842105263
2016-02-19,84.06,
2016-02-20,216.99,1.4179104477611941
2016-02-21,305.76,1.6222222222222222
2016-02-25,85.14,1.8489208633093526
2016-02-26,102.07,
2016-02-27,265.68,1.767605633802817
2016-02-28,192.37,1.511111111111111
2016-03-01,102.41,
2016-03-11,106.59,
2016-03-18,50.54,1.3858267716535433
2016-03-19,195.94,1.4109589041095891
2016-03-20,299.07,
2016-03-22,103.4,
2016-03-24,133.29,
2016-03-25,63.16,1.8203125
2016-03-26,179.57,
