date,file,activity_type,duration_min,avg_power,peak_5s,peak_20s,peak_30s,peak_1min,peak_3min,peak_5min,peak_10min,peak_20min,peak_60min,peak_90min,peak_180min,peak_240min,peak_300min,avg_elevation_ft,altitude_category,avg_pace_sec_per_km,avg_hr,peak_peak_5s,peak_peak_20s,peak_peak_30s,peak_peak_1min,peak_peak_3min,peak_peak_5min,peak_peak_10min,peak_peak_20min,peak_peak_60min,peak_peak_90min,peak_peak_180min,peak_peak_240min,peak_peak_300min
2015-01-06,2015-01-06-08-38-51.fit.gz,cycling,15.0,223.64666666666668,274.6,257.6,253.9,246.9,242.8,240.1,233.4,,,,,,,5243.0,colorado,,,,,,,,,,,,,,,
2015-01-07,2015-01-07-13-14-40.fit.gz,cycling,67.01666666666667,306.71922407361353,440.4,425.6,423.1,419.8,388.4,375.4,361.1,357.9,311.8,,,,,5209.0,colorado,,,,,,,,,,,,,,,
2015-01-08,2015-01-08-16-23-16.fit.gz,cycling,127.5,271.9967320261438,653.4,563.7,533.6,401.8,319.0,306.0,303.5,291.7,283.8,281.8,,,,5140.0,colorado,,,,,,,,,,,,,,,
2015-01-10,2015-01-10-11-25-43.fit.gz,cycling,281.0833333333333,260.980195671509,713.6,555.0,462.8,427.5,380.0,355.6,327.5,303.1,276.4,271.6,268.0,263.9,,5141.0,colorado,,,,,,,,,,,,,,,
2015-01-11,2015-01-11-14-11-40.fit.gz,cycling,152.81666666666666,258.5809793870651,416.6,381.6,362.5,310.9,278.8,274.1,268.8,265.7,262.4,260.7,,,,4896.0,colorado,,,,,,,,,,,,,,,
2015-01-14,2015-01-14-16-09-34.fit.gz,cycling,114.3,287.1036745406824,876.4,440.2,415.1,385.6,345.4,333.6,326.5,322.0,300.8,292.9,,,,5080.0,colorado,,,,,,,,,,,,,,,
2015-01-15,2015-01-15-16-08-08.fit.gz,cycling,108.26666666666667,299.32804802955667,927.2,665.6,592.8,466.4,392.8,378.3,368.4,367.8,323.3,304.7,,,,5076.0,colorado,,,,,,,,,,,,,,,
2015-01-16,2015-01-16-15-25-25.fit.gz,cycling,94.08333333333333,240.43596102745792,712.4,443.4,400.4,367.4,323.1,309.7,293.5,283.2,250.6,242.5,,,,5132.0,colorado,,,,,,,,,,,,,,,
2015-01-17,2015-01-17-08-56-05.fit.gz,cycling,208.63333333333333,286.7963732225595,861.8,660.7,598.4,492.3,415.9,400.2,368.5,348.9,323.3,317.7,294.1,,,5026.0,colorado,,,,,,,,,,,,,,,
2015-01-18,2015-01-18-12-07-17.fit.gz,cycling,256.1666666666667,259.62927781392324,895.0,580.5,482.3,457.4,417.8,392.3,357.0,322.2,278.1,272.2,264.0,261.3,,5211.0,colorado,,,,,,,,,,,,,,,
2015-01-20,2015-01-20-16-10-04.fit.gz,cycling,110.66666666666667,292.8,577.0,462.4,430.1,383.2,343.2,333.2,327.1,324.7,306.1,297.6,,,,5052.0,colorado,,,,,,,,,,,,,,,
2015-01-22,2015-01-22-16-09-22.fit.gz,cycling,155.5,293.29174705251876,712.8,668.5,589.1,448.2,434.9,424.2,364.2,336.9,309.2,303.7,,,,5265.0,colorado,,,,,,,,,,,,,,,
2015-01-24,2015-01-24-11-34-42.fit.gz,cycling,260.55,278.30230921768054,949.6,671.5,533.3,390.6,360.1,356.2,352.7,347.1,338.4,331.0,291.4,281.2,,5606.0,colorado,,,,,,,,,,,,,,,
2015-01-25,2015-01-25-11-14-08.fit.gz,cycling,204.5,276.08247758761206,888.8,447.9,398.2,379.6,358.5,359.0,349.5,347.1,297.1,290.2,278.7,,,5767.0,colorado,,,,,,,,,,,,,,,
2015-01-26,2015-01-26-12-10-47.fit.gz,cycling,63.88333333333333,189.37568484216018,507.2,301.9,270.1,238.7,221.9,217.6,214.0,208.1,191.5,,,,,5094.0,colorado,,,,,,,,,,,,,,,
2015-01-30,2015-01-29-17-24-03.fit.gz,cycling,46.016666666666666,275.61608113002535,623.4,382.8,367.1,337.0,316.5,294.5,290.2,285.7,,,,,,5055.0,colorado,,,,,,,,,,,,,,,
2015-02-03,2015-02-02-17-48-09.fit.gz,cycling,134.38333333333333,269.16333870767704,408.4,370.1,338.8,312.2,290.1,287.2,283.5,281.9,276.4,274.8,,,,5082.0,colorado,,,,,,,,,,,,,,,
2015-02-06,2015-02-05-17-21-41.fit.gz,cycling,164.01666666666668,267.2726348948278,531.2,425.8,410.2,337.5,322.6,322.5,299.2,289.0,283.9,279.9,,,,5128.0,colorado,,,,,,,,,,,,,,,
2015-02-07,2015-02-07-14-12-27.fit.gz,cycling,69.76666666666667,307.2207357859532,522.2,414.1,395.6,389.8,374.4,365.5,361.5,358.9,316.6,,,,,5789.0,colorado,,,,,,,,,,,,,,,
2015-02-11,2015-02-10-17-03-59.fit.gz,cycling,126.41666666666667,290.81529334212263,847.8,682.6,603.2,464.4,407.9,404.8,388.0,351.2,311.7,298.6,,,,5363.0,colorado,,,,,,,,,,,,,,,
2015-02-13,2015-02-13-10-31-29.fit.gz,cycling,245.85,291.08582468985156,846.2,606.2,490.3,380.5,370.5,369.1,363.9,359.9,337.2,327.1,299.5,292.5,,5512.0,colorado,,,,,,,,,,,,,,,
2015-02-14,2015-02-14-11-43-08.fit.gz,cycling,187.36666666666667,305.1078989503647,847.8,652.3,525.8,454.0,394.0,387.5,381.9,377.1,347.5,338.5,307.0,,,5337.0,colorado,,,,,,,,,,,,,,,
2015-02-15,2015-02-15-13-03-14.fit.gz,cycling,239.16666666666666,278.7856445993031,797.4,512.0,436.6,346.3,302.2,300.8,296.9,290.0,284.9,280.8,278.4,,,5398.0,colorado,,,,,,,,,,,,,,,
2015-02-20,2015-02-19-17-16-19.fit.gz,cycling,96.55,280.5346107370965,908.2,751.0,583.9,432.6,385.2,360.5,344.6,333.9,292.9,282.6,,,,5417.0,colorado,,,,,,,,,,,,,,,
2015-02-27,2015-02-27-12-22-06.fit.gz,cycling,69.53333333333333,335.73346116970276,396.6,387.9,386.2,381.1,372.3,364.6,360.1,358.1,340.6,,,,,5251.0,colorado,,,,,,,,,,,,,,,
2015-03-06,2015-03-05-17-09-37.fit.gz,cycling,59.88333333333333,318.5566379070415,510.0,383.3,380.1,377.9,372.3,368.2,350.3,336.2,,,,,,4796.0,colorado,,,,,,,,,,,,,,,
2015-03-07,2015-03-07-08-45-20.fit.gz,cycling,120.9,299.90460435621725,891.6,704.8,712.8,555.1,440.4,396.0,362.2,354.4,320.3,313.3,,,,5698.0,colorado,,,,,,,,,,,,,,,
2015-03-09,2015-03-09-17-28-59.fit.gz,cycling,85.38333333333334,298.45325004879953,700.4,443.9,431.8,422.0,413.5,411.3,369.9,366.5,313.5,,,,,5444.0,colorado,,,,,,,,,,,,,,,
2015-03-10,2015-03-10-15-39-56.fit.gz,cycling,53.28333333333333,302.7385048482953,782.6,719.3,659.1,484.9,438.0,377.2,362.8,325.7,,,,,,5013.0,colorado,,,,,,,,,,,,,,,
2015-03-14,2015-03-14-08-42-41.fit.gz,cycling,52.93333333333333,292.2484256926952,988.8,657.0,609.2,485.2,386.1,347.9,334.3,319.4,,,,,,2956.0,sea_level,,,,,,,,,,,,,,,
2015-03-15,2015-03-15-09-42-43.fit.gz,cycling,111.25,323.9201498127341,862.8,680.0,611.1,498.7,414.5,410.5,381.1,364.6,337.6,331.5,,,,2544.0,sea_level,,,,,,,,,,,,,,,
2015-03-18,2015-03-18-15-42-15.fit.gz,cycling,99.05,308.856806326771,736.8,570.0,547.9,462.3,409.6,408.6,397.4,380.8,334.0,312.8,,,,5646.0,colorado,,,,,,,,,,,,,,,
2015-03-19,2015-03-19-16-48-34.fit.gz,cycling,92.23333333333333,315.27466570292734,839.4,470.4,456.9,437.0,421.5,419.2,382.4,380.7,333.7,316.7,,,,5404.0,colorado,,,,,,,,,,,,,,,
2015-03-21,2015-03-21-11-04-44.fit.gz,cycling,170.81666666666666,305.5562493901844,489.2,439.1,406.0,381.0,377.5,376.7,371.6,368.1,350.9,336.8,,,,5630.0,colorado,,,,,,,,,,,,,,,
2015-03-22,2015-03-22-11-12-41.fit.gz,cycling,226.95,279.57758683997946,771.2,499.8,455.6,416.7,372.3,346.4,315.9,308.1,298.4,294.2,284.3,,,5424.0,colorado,,,,,,,,,,,,,,,
2015-03-25,2015-03-25-06-14-41.fit.gz,cycling,122.5,289.98925170068026,631.6,432.4,400.1,365.9,314.4,310.3,305.3,300.7,297.9,294.7,,,,5325.0,colorado,,,,,,,,,,,,,,,
2015-03-26,2015-03-26-15-49-29.fit.gz,cycling,117.9,286.8546791065875,897.8,684.4,636.3,471.6,416.4,403.4,346.1,331.6,296.4,295.0,,,,5061.0,colorado,,,,,,,,,,,,,,,
2015-03-27,2015-03-27-17-23-32.fit.gz,cycling,75.9,320.1822573561704,478.2,418.6,413.1,404.5,389.3,382.4,373.1,353.2,329.6,,,,,5243.0,colorado,,,,,,,,,,,,,,,
2015-03-28,2015-03-28-12-43-08.fit.gz,cycling,224.28333333333333,283.98989373560227,578.0,489.8,483.8,477.5,406.8,413.3,397.8,359.9,322.8,306.4,288.7,,,5539.0,colorado,,,,,,,,,,,,,,,
2015-03-29,2015-03-29-09-46-51.fit.gz,cycling,309.76666666666665,275.52652534165503,688.4,480.9,418.1,411.4,398.3,385.5,351.1,321.1,300.5,296.5,284.4,279.8,276.1,5509.0,colorado,,,,,,,,,,,,,,,
2015-04-01,2015-04-01-16-08-01.fit.gz,cycling,96.81666666666666,298.41194697882594,696.4,500.0,480.2,454.7,443.2,382.9,371.2,359.4,320.3,301.1,,,,5548.0,colorado,,,,,,,,,,,,,,,
2015-04-03,2015-04-03-15-50-54.fit.gz,cycling,104.66666666666667,294.1955414012739,788.6,578.0,564.6,490.0,398.5,372.8,339.4,323.7,300.2,296.5,,,,5081.0,colorado,,,,,,,,,,,,,,,
2015-04-05,wattgod.2015-04-06-01-09-57-957Z.GarminPush.1515549216.fit.gz,cycling,151.08333333333334,285.74252619966904,830.0,681.1,556.2,477.2,423.4,395.4,367.4,335.6,303.9,302.1,,,,6958.0,colorado,,,,,,,,,,,,,,,
2015-04-07,2015-04-07-16-57-33.fit.gz,cycling,92.1,304.3074556641332,523.8,500.2,483.4,461.9,447.1,397.5,387.3,365.7,326.5,305.8,,,,5474.0,colorado,,,,,,,,,,,,,,,
2015-04-09,2015-04-09-16-41-19.fit.gz,cycling,76.18333333333334,310.49376504047257,658.2,418.4,409.9,401.4,396.0,395.1,394.3,391.5,321.5,,,,,5640.0,colorado,,,,,,,,,,,,,,,
2015-04-10,2015-04-10-16-29-00.fit.gz,cycling,50.56666666666667,253.25774555042847,905.8,517.0,433.7,357.0,321.9,315.2,304.4,289.8,,,,,,5518.0,colorado,,,,,,,,,,,,,,,
2015-04-11,2015-04-11-08-40-48.fit.gz,cycling,190.36666666666667,299.7679040448258,882.8,637.1,574.3,484.5,441.7,428.6,387.4,361.0,338.6,336.6,304.0,,,6682.0,colorado,,,,,,,,,,,,,,,
2015-04-12,2015-04-12-15-00-14.fit.gz,cycling,16.766666666666666,331.7117296222664,930.6,646.2,645.4,492.9,411.9,410.1,382.7,,,,,,,5090.0,colorado,,,,,,,,,,,,,,,
2015-04-17,2015-04-17-17-20-31.fit.gz,cycling,114.36666666666666,279.8449431652579,659.2,618.9,591.8,477.6,363.2,353.4,317.0,295.7,287.9,281.8,,,,5247.0,colorado,,,,,,,,,,,,,,,
2015-04-18,2015-04-18-12-33-09.fit.gz,cycling,189.28333333333333,273.410407678084,593.0,413.3,411.2,405.0,400.6,398.9,369.2,317.3,285.6,279.3,274.5,,,5378.0,colorado,,,,,,,,,,,,,,,
2015-04-19,2015-04-19-12-23-31.fit.gz,cycling,52.833333333333336,290.90347003154574,494.4,482.6,476.7,448.4,412.5,404.0,396.3,360.9,,,,,,5461.0,colorado,,,,,,,,,,,,,,,
2015-04-20,2015-04-20-17-27-04.fit.gz,cycling,50.46666666666667,304.6839498018494,505.2,454.2,453.7,433.3,416.7,409.8,404.6,367.2,,,,,,5657.0,colorado,,,,,,,,,,,,,,,
2015-04-21,2015-04-21-16-50-49.fit.gz,cycling,121.08333333333333,272.86909841706813,882.2,606.7,571.2,494.3,388.2,364.2,331.1,320.9,292.5,284.9,,,,5172.0,colorado,,,,,,,,,,,,,,,
