"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Basic Strength 1","Strength","Ideally lift to start the day and then ride as somewhat of a flush ahead of harder work tomorrow.","0.5","","2023-11-01","Strength as the priority and then ride optional.","","","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hike or Run","Walk","Aerobic activity but not cycling.","","","2023-11-01","","14506.9501953125","","","","","1.29504370689392","3.11199998855591","","164","","128","166","","","0.752745687677254","81.83","32","40","1","1","0","","","","","","","","","","","","","","","","",""
"General","Bike","General endurance in Z1-Z2. Ride where comfortable without too much focus on the power meter. Majority of the ride @ 90+ rpm.","1.5","","2023-11-03","Watch HR<150 bpm.","95299.5390625","208","461","2297.633","","3.07997608184814","8.59500026702881","","80","","132","147","","","0.626574879420215","120.57","82","121","0","0","0","","","","","","50","111","22","1","0","0","","","","","",""
"Free / Family Day","Other","Free day / family day based on what the right fit is.","","","2023-11-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2023-11-05","","12883.1904296875","","","","","1.11909329891205","3.19799995422363","","165","","149","164","","","0.769937409349307","73.7","4","19","46","3","0","","","","","","","","","","","","","","","","",""
"General","Bike","General endurance in Z1-Z2. Ride where comfortable without too much focus on the power meter. Majority of the ride @ 90+ rpm.","2","","2023-11-05","Watch HR<150 bpm.","86472.046875","183","659","1986.042"," *11/06/2023 Matti Rowe: Pm probably wrong.*","3.03535056114197","7.91300010681152","","80","","137","153","","","0.628508002793162","136.56","25","160","0","0","0","","","","","","96","81","5","0","0","0","","","","","",""
"Start or End the day with Yoga","Strength","There's a great variety of yoga lessons here, mix it up: https://www.youtube.com/user/yogawithadriene/videos Use this as a time to remove your mind from cycling and go to a different place.","0.5","","2023-11-06","Matti, if you have access to gym stuff you can expand this into the normal strength work.","","","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2 + HC","Bike","Z2 base + where it fits, cadence work: 6 x 1 min, high Z3, 110+ rpm / 1 min recovery","1.5","","2023-11-06","","71686.9765625","219","782","1668.686","","2.1280632019043","9.35700035095215","","83","","129","150","","","0.65328913837458","90.77","98","37","0","0","0","","","","","","28","82","12","4","1","0","","","","","",""
"Basic Strength 1","Strength","Ideally lift to start the day and then ride as somewhat of a flush ahead of harder work tomorrow.","0.5","","2023-11-07","Strength as the priority and then ride optional.","","","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2","Bike","Steady ride @ Z2 HR (130-150bpm).","2","","2023-11-07","","86788.046875","218","653","2042.329","","2.59821152687073","9.2790002822876","","82","","129","144","","","0.645770654680387","108.13","113","56","0","0","0","","","","","","33","99","22","1","0","0","","","","","",""
"Hike or Run","Walk","Aerobic activity but not cycling.","","","2023-11-08","","14650.8701171875","","","","","1.57000553607941","2.59200000762939","","152","","117","141","","","0.747964869837581","98.42","77","2","0","0","0","","","","","","","","","","","","","","","","",""
"Sprints, HC","Bike","Easy base @ Z1-2 + sprints: -6 x 8"" max sprint in light gear @ max cadence (3x seated, 3x standing). >2' recovery between. -10' @ 100+ rpm - no specific power","1.5","","2023-11-09","","76108","224","1194","1891.998","","2.34508562088013","9.01500034332275","","82","","136","167","","","0.673064583162831","106.21","24","116","3","1","0","","","","","","30","84","24","2","0","1","","","","","",""
"Road Cycling","Bike","","","","2023-11-10","","75979.71875","223","454","1828.283","","2.28536510467529","9.23499965667725","","85","","134","146","","","0.651509290217748","96.95","38","105","0","0","0","","","","","","32","76","26","2","0","0","","","","","",""
"General","Bike","General endurance in Z1-Z2. Ride where comfortable without too much focus on the power meter. Majority of the ride @ 90+ rpm.","3","","2023-11-11","Watch HR<150 bpm. Push volume to tomorrow if it's not realistic to get 3-4h today.","89848.0390625","231","612","2274.117","","2.75645399093628","9.05399990081787","","84","","139","170","","","0.676877544302623","126.46","14","148","3","1","0","","","","","","33","91","35","4","1","1","","","","","",""
"Start or End the day with Yoga","Strength","There's a great variety of yoga lessons here, mix it up: https://www.youtube.com/user/yogawithadriene/videos Use this as a time to remove your mind from cycling and go to a different place.","1","","2023-11-12","Matti, if you have access to gym stuff you can expand this into the normal strength work.","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Free / Family Day","Other","Free day / family day based on what the right fit is.","","","2023-11-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Open Water Swimming","Swim","","","","2023-11-12","","2293.7099609375","","","","","1.02815389633179","0.620000004768372","","41","","134","170","","","0.628093024339472","44.97","28","35","1","1","0","","","","","","","","","","","","","","","","",""
"Hiking","Walk","","","","2023-11-12","","12883.419921875","","","","","1.89210665225983","1.89100003242493","","113","","92","124","","","0.53115008365955","60.09","13","0","0","0","0","","","","","","","","","","","","","","","","",""
