"Timestamp","Type","Value"
"2023-01-08 08:01:00","Sleep Hours","7.32"
"2023-01-08 08:01:00","Number Times Woken","20"
"2023-01-08 08:01:00","Pulse","55"
"2023-01-08 08:01:00","Time In Light Sleep","3.898255"
"2023-01-08 08:01:00","Time In Deep Sleep","1.9412391"
"2023-01-08 08:01:00","HRV","51.518707"
"2023-01-08 08:01:00","Time In REM Sleep","1.4759889"
"2023-01-08 08:01:00","Time Awake","1.5241003"
"2023-01-08 08:01:00","Notes","WHOOP Recovery Score: 54"
"2023-01-09 07:11:00","Notes","WHOOP Recovery Score: 72"
"2023-01-09 07:11:00","Time Awake","0.978632"
"2023-01-09 07:11:00","Time In REM Sleep","2.3268144"
"2023-01-09 07:11:00","Number Times Woken","18"
"2023-01-09 07:11:00","Sleep Hours","7.75"
"2023-01-09 07:11:00","Pulse","53"
"2023-01-09 07:11:00","Time In Light Sleep","3.3287084"
"2023-01-09 07:11:00","Time In Deep Sleep","2.0936558"
"2023-01-09 07:11:00","HRV","62.17017"
"2023-01-10 05:49:00","HRV","87.52203"
"2023-01-10 05:49:00","Time In Deep Sleep","2.141792"
"2023-01-10 05:49:00","Time Awake","1.0187347"
"2023-01-10 05:49:00","Notes","WHOOP Recovery Score: 97"
"2023-01-10 05:49:00","Time In REM Sleep","2.197671"
"2023-01-10 05:49:00","Time In Light Sleep","3.577659"
"2023-01-10 05:49:00","Sleep Hours","7.92"
"2023-01-10 05:49:00","Pulse","48"
"2023-01-10 05:49:00","Number Times Woken","15"
"2023-01-11 07:27:00","Number Times Woken","23"
"2023-01-11 07:27:00","Sleep Hours","8.97"
"2023-01-11 07:27:00","Pulse","52"
"2023-01-11 07:27:00","Time In Light Sleep","4.355758"
"2023-01-11 07:27:00","HRV","55.90828"
"2023-01-11 07:27:00","Time In Deep Sleep","1.6203828"
"2023-01-11 07:27:00","Time In REM Sleep","2.9917831"
"2023-01-11 07:27:00","Time Awake","1.8128631"
"2023-01-11 07:27:00","Notes","WHOOP Recovery Score: 61"
"2023-01-12 06:51:00","Time Awake","0.352955"
"2023-01-12 06:51:00","Time In REM Sleep","1.6521806"
"2023-01-12 06:51:00","Notes","WHOOP Recovery Score: 39"
"2023-01-12 06:51:00","Time In Light Sleep","2.7594554"
"2023-01-12 06:51:00","Number Times Woken","5"
"2023-01-12 06:51:00","Sleep Hours","5.82"
"2023-01-12 06:51:00","Pulse","53"
"2023-01-12 06:51:00","HRV","45.41744"
"2023-01-12 06:51:00","Time In Deep Sleep","1.4037898"
"2023-01-13 05:12:00","Time In Deep Sleep","1.5963119"
"2023-01-13 05:12:00","HRV","47.151722"
"2023-01-13 05:12:00","Time In REM Sleep","1.5398811"
"2023-01-13 05:12:00","Time Awake","1.2593931"
"2023-01-13 05:12:00","Notes","WHOOP Recovery Score: 39"
"2023-01-13 05:12:00","Time In Light Sleep","3.3209727"
"2023-01-13 05:12:00","Sleep Hours","6.46"
"2023-01-13 05:12:00","Pulse","57"
"2023-01-13 05:12:00","Number Times Woken","14"
"2023-01-14 06:52:00","Number Times Woken","18"
"2023-01-14 06:52:00","Time In Light Sleep","3.2821941"
"2023-01-14 06:52:00","Sleep Hours","7.24"
"2023-01-14 06:52:00","Pulse","55"
"2023-01-14 06:52:00","Time In Deep Sleep","1.7647594"
"2023-01-14 06:52:00","HRV","51.38161"
"2023-01-14 06:52:00","Notes","WHOOP Recovery Score: 48"
"2023-01-14 06:52:00","Time Awake","0.97864777"
"2023-01-14 06:52:00","Time In REM Sleep","2.1901665"
"2023-01-15 07:29:00","Time In REM Sleep","1.2353367"
"2023-01-15 07:29:00","Time Awake","1.3235775"
