"Timestamp","Type","Value"
"2024-01-08 00:00:00","Weight Pounds","180.90"
"2024-01-08 07:25:00","Sleep Hours","7.48"
"2024-01-08 07:25:00","Time In REM Sleep","2.1629453"
"2024-01-08 07:25:00","Pulse","55"
"2024-01-08 07:25:00","Number Times Woken","18"
"2024-01-08 07:25:00","Time In Deep Sleep","1.2817581"
"2024-01-08 07:25:00","HRV","40.48257"
"2024-01-08 07:25:00","Notes","WHOOP Recovery Score: 42"
"2024-01-08 07:25:00","Time Awake","1.0414008"
"2024-01-08 07:25:00","Time In Light Sleep","4.0372386"
"2024-01-09 05:00:00","Time Awake","0.3685064"
"2024-01-09 05:00:00","Time In Light Sleep","2.1389174"
"2024-01-09 05:00:00","Notes","WHOOP Recovery Score: 81"
"2024-01-09 05:00:00","Sleep Hours","4.77"
"2024-01-09 05:00:00","Time In REM Sleep","1.8825742"
"2024-01-09 05:00:00","HRV","95.400635"
"2024-01-09 05:00:00","Pulse","48"
"2024-01-09 05:00:00","Number Times Woken","4"
"2024-01-09 05:00:00","Time In Deep Sleep","0.7450189"
"2024-01-09 08:48:21","Weight Pounds","178.90"
"2024-01-09 17:35:30","Weight Pounds","176.40"
"2024-01-10 07:40:00","Pulse","55"
"2024-01-10 07:40:00","HRV","43.706444"
"2024-01-10 07:40:00","Time In REM Sleep","2.2109969"
"2024-01-10 07:40:00","Time In Deep Sleep","2.5154202"
"2024-01-10 07:40:00","Sleep Hours","8.80"
"2024-01-10 07:40:00","Number Times Woken","13"
"2024-01-10 07:40:00","Time In Light Sleep","4.0693035"
"2024-01-10 07:40:00","Time Awake","0.905245"
"2024-01-10 07:40:00","Notes","WHOOP Recovery Score: 43"
"2024-01-10 08:46:44","Weight Pounds","177.60"
"2024-01-10 17:09:04","Weight Pounds","177.40"
"2024-01-11 05:00:00","Time In Light Sleep","2.3151407"
"2024-01-11 05:00:00","Time Awake","1.1137542"
"2024-01-11 05:00:00","Notes","WHOOP Recovery Score: 43"
"2024-01-11 05:00:00","Number Times Woken","8"
"2024-01-11 05:00:00","Pulse","54"
"2024-01-11 05:00:00","Sleep Hours","4.69"
"2024-01-11 05:00:00","Time In Deep Sleep","1.3137906"
"2024-01-11 05:00:00","HRV","50.554153"
